SerialNo,VID,SentenceID,Sentence,SentenceMappedVID
,v_Archery_g08_c01,Sentence14_v_Archery_g08_c01,On the grass where there is a house and many trees in the background a boy is playing archery wearing white shirt,
,v_Archery_g10_c02,Sentence15_v_Archery_g10_c02,"A guy playing archery with 1 lady, 1 man and 1 kid in the background",
,v_Archery_g10_c02,Sentence16_v_Archery_g10_c02,"A room with many pillars and a lady, a man and a child in the background where a guy wearing pink top playing archery",
,v_Archery_g13_c03,Sentence17_v_Archery_g13_c03,A fat guy wearing blue stripes shirt playing archery in a room,
,v_Archery_g13_c03,Sentence18_v_Archery_g13_c03,A man wearing blue shirt and yellow pant playing archery in a room with chair in the background,
,v_Archery_g16_c01,Sentence19_v_Archery_g16_c01,A man with golden hair playing archery in front of the house ,
,v_Archery_g16_c01,Sentence20_v_Archery_g16_c01,A man wearing light pink shirt standing beside the house and playing archery,
,v_Archery_g19_c01,Sentence21_v_Archery_g19_c01,A lady and a man playing archery together on the ground with trees on left side of the ground,
,v_Archery_g19_c01,Sentence22_v_Archery_g19_c01,A lady wearing white shirt and a man wearing black dress playing archery on the ground with trees in the background,
,v_Archery_g20_c03,Sentence23_v_Archery_g20_c03,A man playing archery in the room where one man is sitting on the couch and another standing,
,v_Archery_g20_c03,Sentence24_v_Archery_g20_c03,In a room where one man is sitting on the couch and speaking to another who is standing while one man is playing archery,
,v_Archery_g22_c02,Sentence25_v_Archery_g22_c02,A man playing archery by aiming at an object on the grass ground with trees,
,v_Archery_g22_c02,Sentence26_v_Archery_g22_c02,A man wearing gray shirt plays archery on the grass land with trees by shooting an object,
,v_Archery_g24_c01,Sentence27_v_Archery_g24_c01,A man wearing white shirt with white curtains in the background playing archery in the room,
,v_Archery_g24_c01,Sentence28_v_Archery_g24_c01,A room with white curtains where a man is playing archery,
,v_Archery_g25_c01,Sentence29_v_Archery_g25_c01,A man wearing blue trouser playing archery by looking back and aiming,
,v_Archery_g25_c01,Sentence30_v_Archery_g25_c01,On the grassland a man wearing blue trouser playing archery,
,v_PlayingViolin_g01_c02,Sentence1_v_PlayingViolin_g01_c02,A person in a black T-shirt plays the violin in his drawing room.,
,v_PlayingViolin_g01_c02,Sentence2_v_PlayingViolin_g01_c02,A black T-shirted person performs on the violin in a room.,
,v_PlayingViolin_g02_c03,Sentence3_v_PlayingViolin_g02_c03,A man in a black shirt plays the violin in a room.,
,v_PlayingViolin_g02_c03,Sentence4_v_PlayingViolin_g02_c03,A black-shirted man performs on the violin indoors.,
,v_PlayingViolin_g03_c04,Sentence5_v_PlayingViolin_g03_c04,"ChamberPlayers, including Zukerman, in black shirts, perform violins alongside a lady on a string instrument during a concert.",
,v_PlayingViolin_g03_c04,Sentence6_v_PlayingViolin_g03_c04,"In a concert, black-shirted Zukerman ChamberPlayers play violins, harmonizing with a lady on a string instrument.",
,v_PlayingViolin_g04_c04,Sentence7_v_PlayingViolin_g04_c04,Someone in a blue check shirt plays the violin in a room with phonetics on a light green wall.,
,v_PlayingViolin_g04_c04,Sentence8_v_PlayingViolin_g04_c04,A blue-checkered-shirted individual plays the violin in a room with phonetics on the light green background.,
,v_PlayingViolin_g05_c02,Sentence9_v_PlayingViolin_g05_c02,A girl in a blackish-purple dress plays the violin in a room.,
,v_PlayingViolin_g05_c02,Sentence10_v_PlayingViolin_g05_c02,"In a room, a girl wearing a blackish-purple dress plays the violin.",
,v_Kayaking_g01_c01,Sentence1_v_Kayaking_g01_c01,"A man in a yellow boat is kayaking straight, facing forward",
,v_Kayaking_g01_c01,Sentence2_v_Kayaking_g01_c01,"A man is kayaking in a yellow boat, heading straight",
,v_Kayaking_g02_c01,Sentence3_v_Kayaking_g02_c01,a man in a yellow kayak paddles down a river that flows over mountainous and rocky terrain,
,v_Kayaking_g02_c01,Sentence4_v_Kayaking_g02_c01,A mountainous and rocky river is kayaked by a man in a yellow boat,
,v_Kayaking_g07_c01,Sentence5_v_Kayaking_g07_c01,"a man in a green kayak skillfully kayaks from left to right down a river through a rugged, mountainous terrain",
,v_Kayaking_g07_c01,Sentence6_v_Kayaking_g07_c01,the mountainous landscape is traversed by a man in a green kayak as he moves from left to right along the river.,
,v_Kayaking_g10_c02,Sentence7_v_Kayaking_g10_c02,a person in a yellow kayak is observed kayaking in a muddy pond,
,v_Kayaking_g10_c02,Sentence8_v_Kayaking_g10_c02,"In the murky pond, a person in a yellow boat is seen kayaking",
,v_Kayaking_g22_c06,Sentence9_v_Kayaking_g22_c06,Two men in a red kayak take turns descending a steep mountain while kayaking,
,v_Kayaking_g22_c06,Sentence10_v_Kayaking_g22_c06,A steep mountain is traversed one by one by two men in a red kayak while kayaking,
,v_Basketball_g01_c01,Sentence1_v_Basketball_g01_c01,A man wearing white shirt is playing basket ball with excellent shot while the other man in black shirt is handing him the ball,
,v_Basketball_g01_c01,Sentence2_v_Basketball_g01_c01,A man wearing a black shirt is handing the ball to a man wearing white shirt who plays an excellent shot on the basketball court,
,v_Basketball_g03_c03,Sentence3_v_Basketball_g03_c03,A man wearing black dress playing basket ball with excellent shot next to a house in the basketball court,
,v_Basketball_g03_c03,Sentence4_v_Basketball_g03_c03,In the basketball court next to a house a man wearing black shirt is playing an excellent shot,
,v_Basketball_g04_c04,Sentence5_v_Basketball_g04_c04,Two men playing basketball where one is wearing white shirt and the other is wearing black shirt where in the background house and some trees are seen,
,v_Basketball_g04_c04,Sentence6_v_Basketball_g04_c04,A man wearing white shirt and red shots is playing basketball with excellent shot and a man wearing black dress is playing with the basketball in the background,
,v_Basketball_g06_c03,Sentence7_v_Basketball_g06_c03,A boy playing basket ball at night with bright light in the background,
,v_Basketball_g06_c03,Sentence8_v_Basketball_g06_c03,A boy wearing white shirt playing basket ball at night where some trees are seen in the background,
,v_Basketball_g07_c04,Sentence9_v_Basketball_g07_c04,"Two men wearing blue shirt and black pant are playing basketball where car, house and trees are seen in the background",
,v_Basketball_g07_c04,Sentence10_v_Basketball_g07_c04,A basketball court next to some trees and house where two men wearing blue shirt and black pant are playing basketball,
,v_Basketball_g08_c03,Sentence11_v_Basketball_g08_c03,A girl wearing black top and white pant playing basketball where a building and some trees are seen in the background,
,v_Basketball_g08_c03,Sentence12_v_Basketball_g08_c03,A basketball court near a building and some trees a girl wearing black top and white pant is seen playing basketball with proper shot,
,v_Basketball_g09_c02,Sentence13_v_Basketball_g09_c02,A man wearing blue jacket and shorts playing basketball with perfect shot where many trees are seen in the background,
,v_Basketball_g09_c02,Sentence14_v_Basketball_g09_c02,A basketball court is in the middle of many trees where a man wearing blue jacket and shorts is playing basketball,
,v_Basketball_g10_c01,Sentence15_v_Basketball_g10_c01,In an empty basketball court two men wearing white shirt are playing the game,
,v_Basketball_g10_c01,Sentence16_v_Basketball_g10_c01,Two men wearing white shirt are playing basketball where one throws a perfect shot from the third point line in an empty basketball,
,v_Basketball_g11_c02,Sentence17_v_Basketball_g11_c02,A man is playing basketball by bouncing the ball and playing a shot in an open land where some trees and bushes are seen in the background,
,v_Basketball_g11_c02,Sentence18_v_Basketball_g11_c02,A man is playing a basketball shot in an open land where some trees and bushes are seen in the background and he is bouncing the ball,
,v_Basketball_g12_c01,Sentence19_v_Basketball_g12_c01,A man wearing 6 number shirt is playing a perfect basketball shot from the third point line in the basket ball court where many people are seated and two players are running around,
,v_Basketball_g12_c01,Sentence20_v_Basketball_g12_c01,A basketball court where many people are seated and a man is standing on the third point line playing a perfect shot and two other players are running around,
,v_Basketball_g13_c01,Sentence21_v_Basketball_g13_c01,A girl wearing white shirt and red shorts is playing a perfect shot twice with basketball in an empty court by moving the ball,
,v_Basketball_g13_c01,Sentence22_v_Basketball_g13_c01,In an empty basket ball court a girl wearing white shirt and red shorts is playing a perfect shot twice by bouncing the ball in hand and moving,
,v_Basketball_g15_c01,Sentence23_v_Basketball_g15_c01,A man wearing light blue shirt is playing a perfect shot of basketball and another man wearing maroon shirt catches the ball where the background wall is coloured in half light blue and white,
,v_Basketball_g15_c01,Sentence24_v_Basketball_g15_c01,In a basketball court where the wall is painted in half light blue and white where a man wearing light blue shirt is playing a perfect shot and another man wearing maroon shirt catches the ball,
,v_Basketball_g16_c06,Sentence25_v_Basketball_g16_c06,A man wearing white shirt with 32 number written on it and light blue shorts is playing a perfect shot twice by bouncing the ball in his hand,
,v_Basketball_g16_c06,Sentence26_v_Basketball_g16_c06,A man is moving around the basketball court by bouncing the ball and playing a perfect shot twice and he is wearing a white shirt with 32 number on it along with light blue shorts,
,v_Basketball_g21_c04,Sentence27_v_Basketball_g21_c04,A man wearing white dress and white hair band is seen playing basketball from the third point line with a perfect shot where a building and some trees are seen in the background,
,v_Basketball_g21_c04,Sentence28_v_Basketball_g21_c04,A basketball court next to a building and some trees where a man wearing white dress and white hair band is seen playing from the third point line with a perfect shot,
,v_Basketball_g25_c04,Sentence29_v_Basketball_g25_c04,A man wearing black dress is playing basket ball by standing on the third point line but the ball did not fall inside the basket,
,v_Basketball_g25_c04,Sentence30_v_Basketball_g25_c04,A man playing basketball with a bad shot by standing on the third point line is wearing a black dress,
,v_TableTennisShot_g01_c01,Sentence01_v_TableTennisShot_g01_c01,A man wearing blue colour shirt  is playing table tennis along with the music.,
,v_TableTennisShot_g01_c01,Sentence02_v_TableTennisShot_g01_c01,"While listening to music, a man in a blue T shirt is playing table tennis in left hand",
,v_TableTennisShot_g01_c04,Sentence03_v_TableTennisShot_g01_c04,A man wearing green colour T  shirt is playing table tennis in right hand.,
,v_TableTennisShot_g01_c04,Sentence04_v_TableTennisShot_g01_c04,"A man, dressed in a green T shirt, is playing table tennis with his right hand",
,v_TableTennisShot_g01_c05,Sentence05_v_TableTennisShot_g01_c05,A man with back and white T shirt practicing table tennis vigourously in right hand,
,v_TableTennisShot_g01_c05,Sentence06_v_TableTennisShot_g01_c05,"Vigorously wielding his right hand, a man in a black and white T-shirt is practicing table tennis",
